,MAE,Model,Features
615,0.2272672655393896,NMF->DT (MF),All_features
19,0.22808811268096985,DT (MF),Theory_features
497,0.22819203832018256,NMF->DT (MF),All_features
277,0.2303174146191629,NMF->DT (MF),All_features
211,0.2313330387673167,NMF->DT (MF),All_features
46,0.23171785971964545,NMF->DT (MF),Theory_features
465,0.2356918848515801,NMF->DT (MF),All_features
666,0.2360010062827733,NMF->DT (MF),All_features
471,0.23643509836435345,NMF->DT (MF),All_features
3103,0.2365327631379561,NMF->RF,All_features
3054,0.23712989375529314,NMF->RF,All_features
555,0.23747645805693324,NMF->DT (MF),All_features
368,0.23769854859901365,NMF->DT (MF),All_features
3153,0.23793305555393154,NMF->RF,All_features
435,0.2381013777769726,NMF->DT (MF),All_features
283,0.23835706004236595,NMF->DT (MF),All_features
298,0.2385806708235169,NMF->DT (MF),All_features
631,0.2389121106545918,NMF->DT (MF),All_features
108,0.2392372096062816,NMF->DT (MF),All_features
40,0.2395679564249943,NMF->DT (MF),Theory_features
23,0.2400241860380516,DT (MF),Theory_features
527,0.24018821025193615,NMF->DT (MF),All_features
95,0.2401943962495492,NMF->DT (MF),All_features
392,0.2404098316741708,NMF->DT (MF),All_features
59,0.2406193787095333,NMF->DT,All_features
17,0.24069080728096184,NMF->DT,All_features
1344,0.2407565230345529,NMF->RF,All_features
365,0.241103393190773,NMF->DT (MF),All_features
3202,0.24113639232574305,NMF->RF,All_features
71,0.24147652156667615,NMF->DT,All_features
36,0.2415479501381048,NMF->DT,All_features
14,0.2415841524100105,DT (MF),Theory_features
682,0.24183849094731155,NMF->DT (MF),All_features
122,0.24202292389199584,NMF->DT (MF),All_features
3096,0.2420772441960395,NMF->RF,All_features
129,0.2422026665167779,NMF->DT (MF),All_features
489,0.2422300338150227,NMF->DT (MF),All_features
3376,0.2424382818242005,NMF->RF,All_features
210,0.2425327156736361,NMF->DT (MF),All_features
3451,0.24285130477543865,NMF->RF,All_features
3047,0.2428719407311356,NMF->RF,All_features
2303,0.24289701202744185,NMF->RF,All_features
3501,0.2429035019795346,NMF->RF,All_features
57,0.2429801105352635,NMF->DT (MF),All_features
509,0.24298409879430266,NMF->DT (MF),All_features
3276,0.2430004069099174,NMF->RF,All_features
3174,0.2430222029089593,NMF->RF,All_features
241,0.24303426318671545,NMF->DT (MF),All_features
334,0.24323762213512665,NMF->DT (MF),All_features
720,0.24351636794700704,NMF->DT (MF),All_features
3756,0.2437704794446065,NMF->RF,All_features
20,0.2438158072809619,NMF->DT,All_features
3360,0.2438781274119332,NMF->RF,All_features
68,0.2438872358523904,NMF->DT,All_features
63,0.2438872358523905,NMF->DT,All_features
60,0.2438872358523905,NMF->DT,All_features
378,0.2439036108739357,NMF->DT (MF),All_features
952,0.2439122623098409,NMF->RF,All_features
32,0.2439582072689216,DT (MF),Theory_features
24,0.24395866442381905,NMF->DT,All_features
43,0.24395866442381905,NMF->DT,All_features
1530,0.2439832851656369,NMF->RF,All_features
2335,0.2440443274302212,NMF->RF,All_features
3075,0.2441488013775324,NMF->RF,All_features
1050,0.24417377403468565,NMF->RF,All_features
1965,0.2442996073643292,NMF->RF,All_features
2014,0.2443656150398105,NMF->RF,All_features
22,0.2444320948892377,DT (MF),Theory_features
3474,0.24458778685978266,NMF->RF,All_features
275,0.2446419130707577,NMF->DT (MF),All_features
2318,0.2446946781640136,NMF->RF,All_features
3260,0.24472639962364226,NMF->RF,All_features
1179,0.2447832933457804,NMF->RF,All_features
6,0.24486147169555803,NMF->DT (MF),All_features
401,0.2449107848083412,NMF->DT (MF),All_features
1299,0.24495249372804545,NMF->RF,All_features
3146,0.2449560499390573,NMF->RF,All_features
1524,0.2451206893568419,NMF->RF,All_features
3225,0.2451368619076792,NMF->RF,All_features
448,0.2452880774878792,NMF->DT (MF),All_features
207,0.2452927390123476,NMF->DT (MF),All_features
1343,0.2452956606462313,NMF->RF,All_features
2352,0.24536160379706154,NMF->RF,All_features
252,0.2453724686688286,NMF->DT (MF),All_features
1097,0.24556815411558225,NMF->RF,All_features
1367,0.2455761674817146,NMF->RF,All_features
3673,0.24564124895850406,NMF->RF,All_features
1308,0.24565758969568646,NMF->RF,All_features
2243,0.2456627355208168,NMF->RF,All_features
234,0.245751846548852,NMF->DT (MF),All_features
2321,0.24576504876812486,NMF->RF,All_features
706,0.2458781534931522,NMF->DT (MF),All_features
325,0.2459146189323132,NMF->DT (MF),All_features
3572,0.2459177799801173,NMF->RF,All_features
337,0.24597320022103286,NMF->DT (MF),All_features
3774,0.24598653943017695,NMF->RF,All_features
3748,0.2460036926983176,NMF->RF,All_features
82,0.2460162636655637,NMF->DT (MF),Theory_features
1440,0.2460463083603158,NMF->RF,All_features
2090,0.2460475647138664,NMF->RF,All_features
483,0.2460989986750619,RF,All_features
7,0.2461248543978409,DT (MF),Theory_features
3088,0.24614167632518436,NMF->RF,All_features
571,0.2461698706396643,NMF->DT (MF),All_features
8,0.2462161915459333,NMF->DT (MF),All_features
3126,0.24626494201278465,NMF->RF,All_features
461,0.2463062524549956,NMF->DT (MF),All_features
3175,0.24632536187626225,NMF->RF,All_features
1573,0.2464307279449067,NMF->RF,All_features
3725,0.2464538097602534,NMF->RF,All_features
3141,0.2464886884028805,NMF->RF,All_features
1761,0.2464917755897628,NMF->RF,All_features
3145,0.2464978662520226,NMF->RF,All_features
3437,0.2464991274432878,NMF->RF,All_features
1915,0.24651628625414904,NMF->RF,All_features
2387,0.24653381725150303,NMF->RF,All_features
3032,0.2465603273273244,NMF->RF,All_features
3766,0.24659219027585505,NMF->RF,All_features
245,0.2466100717108251,NMF->DT (MF),All_features
1068,0.24661963275480464,NMF->RF,All_features
420,0.24664165318572315,NMF->DT (MF),All_features
2428,0.2466590377949217,NMF->RF,All_features
2134,0.24668775952733146,NMF->RF,All_features
3566,0.2466953327521099,NMF->RF,All_features
3135,0.24673858455515546,NMF->RF,All_features
1001,0.24673919549826134,NMF->RF,All_features
2038,0.2467523912247521,NMF->RF,All_features
118,0.2467703900347565,NMF->DT (MF),All_features
600,0.24678462014176303,NMF->DT (MF),All_features
2147,0.2467968462260689,NMF->RF,All_features
2394,0.24686171404474705,NMF->RF,All_features
101,0.2468906745121838,NMF->DT (MF),All_features
1989,0.2469037971046593,NMF->RF,All_features
2259,0.2469290729704519,NMF->RF,All_features
2338,0.24703910270257826,NMF->RF,All_features
21,0.24714476297450466,NMF->DT (MF),All_features
1699,0.24716400987581555,NMF->RF,All_features
3544,0.24716705761397276,NMF->RF,All_features
3464,0.2471983450786709,NMF->RF,All_features
40,0.24721461680477144,NMF->DT,All_features
3637,0.2472486183605983,NMF->RF,All_features
3542,0.2472585100531713,NMF->RF,All_features
53,0.2472860453762,NMF->DT,All_features
2382,0.24729238061159264,NMF->RF,All_features
658,0.2473302838895556,NMF->DT (MF),All_features
3,0.2473574739476285,NMF->DT,All_features
15,0.2473574739476286,NMF->DT,All_features
3800,0.2473657081927595,NMF->RF,All_features
3476,0.2473686618167717,NMF->RF,All_features
30,0.24737976081979665,NMF->DT (MF),All_features
1708,0.2473931963155777,NMF->RF,All_features
2366,0.24739344319115286,NMF->RF,All_features
13,0.2474071673230109,DT (MF),Theory_features
3584,0.2474138845347097,NMF->RF,All_features
3301,0.24742423312817965,NMF->RF,All_features
3076,0.2474321592499108,NMF->RF,All_features
580,0.2474486194786215,NMF->DT (MF),All_features
2296,0.2474606591794255,NMF->RF,All_features
1600,0.24749681273833696,NMF->RF,All_features
3081,0.24750072006803045,NMF->RF,All_features
2138,0.2475435356457223,NMF->RF,All_features
3410,0.24759746484949874,NMF->RF,All_features
87,0.2475978485382181,NMF->DT (MF),All_features
2160,0.2476073978426266,NMF->RF,All_features
193,0.24760838291842915,NMF->DT (MF),All_features
877,0.2476176183478057,RF,All_features
1022,0.2476409988027596,NMF->RF,All_features
2920,0.24764993065668364,NMF->RF,All_features
487,0.2476579005102476,NMF->DT (MF),All_features
1219,0.2476999132639032,NMF->RF,All_features
3408,0.24771158085294734,NMF->RF,All_features
1940,0.2477155815769557,NMF->RF,All_features
2093,0.2477242568046152,NMF->RF,All_features
518,0.2477679769013045,NMF->DT (MF),All_features
3772,0.24781165812851005,NMF->RF,All_features
3599,0.2478396408136547,NMF->RF,All_features
752,0.2478503817704097,NMF->RF,Theory_features
641,0.2478635849540683,NMF->DT (MF),All_features
1488,0.24788111524050302,NMF->RF,All_features
3368,0.2479012702740981,NMF->RF,All_features
3577,0.24790922145694494,NMF->RF,All_features
3511,0.2479176937600297,NMF->RF,All_features
1698,0.2479224136182047,NMF->RF,All_features
1000,0.2479251327718673,NMF->RF,All_features
1309,0.2479313078005611,NMF->RF,All_features
3494,0.2479398554950813,NMF->RF,All_features
911,0.2479590677312562,RF,All_features
1417,0.24799790579175665,NMF->RF,All_features
104,0.2480052787650956,NMF->DT (MF),All_features
3634,0.24806476771291985,NMF->RF,All_features
26,0.2480717596619143,NMF->DT,All_features
3187,0.24807290157668546,NMF->RF,All_features
2285,0.24808881828129234,NMF->RF,All_features
1437,0.24808978051302585,NMF->RF,All_features
1201,0.24809199541253066,NMF->RF,All_features
3797,0.24809400240038101,NMF->RF,All_features
1994,0.2481051003502414,NMF->RF,All_features
951,0.2481086705471,NMF->RF,All_features
3195,0.24811395393853455,NMF->RF,All_features
2421,0.24812202911613085,NMF->RF,All_features
2334,0.2481365994836329,NMF->RF,All_features
64,0.24814318823334286,NMF->DT,All_features
61,0.2481431882333429,NMF->DT,All_features
270,0.2481598069926112,NMF->RF,All_features
2416,0.24818212254501645,NMF->RF,All_features
3034,0.248200449255582,NMF->RF,All_features
3251,0.2482050834985673,NMF->RF,All_features
175,0.24820703869956745,NMF->DT (MF),All_features
831,0.2482113929720121,RF,All_features
22,0.24821461680477144,NMF->DT,All_features
2388,0.2482292628633395,NMF->RF,All_features
3558,0.2482421798159805,NMF->RF,All_features
64,0.24826861399202074,Lasso,Theory_features
2327,0.24827011441385416,NMF->RF,All_features
1174,0.24827432846270206,NMF->RF,All_features
3742,0.248297396663928,NMF->RF,All_features
3486,0.2482985926028297,NMF->RF,All_features
1697,0.2483136465473953,NMF->RF,All_features
2370,0.2483138934511249,NMF->RF,All_features
725,0.2483373909891075,RF,All_features
3454,0.2483515753655364,NMF->RF,All_features
1209,0.24836256700702666,NMF->RF,All_features
556,0.2483734469962688,NMF->DT (MF),All_features
2705,0.2483752047669422,NMF->RF,All_features
1657,0.2484066954532317,NMF->RF,All_features
7,0.248460552213494,Lasso,All_features
1900,0.2484627402890396,NMF->RF,All_features
3167,0.2484673026816249,NMF->RF,All_features
772,0.2484986469556777,RF,All_features
3118,0.2485061955092216,NMF->RF,All_features
2279,0.2485086265458171,NMF->RF,All_features
1277,0.2485562311381758,NMF->RF,All_features
1014,0.24858394897497124,RF,All_features
464,0.24861122605090424,RF,All_features
1116,0.24861524729391715,NMF->RF,All_features
371,0.2486303467521315,RF,All_features
1392,0.24864323027220944,NMF->RF,All_features
1688,0.2486638124337584,NMF->RF,All_features
3314,0.2486918936872712,NMF->RF,All_features
1280,0.2487450823177961,NMF->RF,All_features
1149,0.2487539917211217,NMF->RF,All_features
536,0.24875805971674006,RF,All_features
161,0.24876566621759244,NMF->DT (MF),All_features
389,0.24878071408358826,RF,All_features
1690,0.2488025258329848,NMF->RF,All_features
1192,0.24881820386920755,NMF->RF,All_features
2436,0.24882437994456585,NMF->RF,All_features
1159,0.2488262742978236,NMF->RF,All_features
3822,0.248888804578782,NMF->RF,All_features
1211,0.2488986199404208,NMF->RF,All_features
3224,0.24890858150880946,NMF->RF,All_features
1260,0.24891375885663675,NMF->RF,All_features
947,0.2489409385428632,NMF->RF,All_features
1570,0.2489550893378741,NMF->RF,All_features
1274,0.2489631460120395,NMF->RF,All_features
1182,0.2489709090478445,NMF->RF,All_features
1565,0.2489893065975807,NMF->RF,All_features
1398,0.2489931499661632,NMF->RF,All_features
721,0.24899690522755544,NMF->DT (MF),All_features
3657,0.2490135795945071,NMF->RF,All_features
3711,0.24906544062892835,NMF->RF,All_features
1656,0.24908658355659524,NMF->RF,All_features
3567,0.2491023410896524,NMF->RF,All_features
1494,0.2491057999371872,NMF->RF,All_features
3622,0.2491527735953484,NMF->RF,All_features
2349,0.24916256692518016,NMF->RF,All_features
238,0.24916282572639595,NMF->DT (MF),All_features
955,0.2491656731177718,RF,All_features
3487,0.2491792695707601,NMF->RF,All_features
1549,0.2491928532775384,NMF->RF,All_features
3442,0.2492010738233428,NMF->RF,All_features
2326,0.2492041637123009,NMF->RF,All_features
1350,0.2492048299613757,NMF->RF,All_features
3036,0.24921952291699556,NMF->RF,All_features
65,0.24925145881055424,Lasso,Theory_features
1999,0.24925472110501984,NMF->RF,All_features
3551,0.2492744908977318,NMF->RF,All_features
1871,0.2492758550248429,NMF->RF,All_features
1464,0.24927645138653015,NMF->RF,All_features
3524,0.2492864951743569,NMF->RF,All_features
467,0.2492943286189087,NMF->DT (MF),All_features
636,0.2492982564074196,RF,Theory_features
1934,0.2493101923239383,NMF->RF,All_features
2464,0.2493149978106177,NMF->RF,All_features
2173,0.2493214741480736,NMF->RF,All_features
1143,0.24932211488343914,NMF->RF,All_features
2280,0.2493404523604193,NMF->RF,All_features
1592,0.2493423131825555,NMF->RF,All_features
37,0.24935140285416516,NMF->DT (MF),Theory_features
1415,0.24935501920164116,NMF->RF,All_features
3062,0.2493610741971785,NMF->RF,All_features
1169,0.2493643038978933,NMF->RF,All_features
1599,0.24936783356784936,NMF->RF,All_features
2284,0.2493744066489863,NMF->RF,All_features
419,0.24938363398508603,RF,All_features
1550,0.24939078553602895,NMF->RF,All_features
1649,0.24939370411947,NMF->RF,All_features
709,0.2494168119894555,NMF->DT (MF),All_features
3701,0.24941829056210826,NMF->RF,All_features
3194,0.2494209213034992,NMF->RF,All_features
3730,0.24943946320829055,NMF->RF,All_features
1671,0.2494630696107784,NMF->RF,All_features
3643,0.2494924175607529,NMF->RF,All_features
3310,0.24949847251553744,NMF->RF,All_features
